type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
TV Show;The Way of the Househusband;null;"""Kenjiro Tsuda, Shizuka Ito, Kazuyuki Okitsu, M・A・O, Jun Fukushima, Kimiko Saito, Yoshimasa Hosoya, Masashi Nogawa, Junichi Yanagida, Hochu Otsuka, Atsuko Tanaka""";Japan;"""April 8, 2021""";2021;TV-MA;1 Season;"""Anime Series, International TV Shows""";"""After disappearing from the underworld, the legendary yakuza Tatsu, \""the Immortal Dragon,\"" resurfaces — as a fiercely devoted stay-at-home husband."""
Movie;Not a Game;Jose Gomez;Brendon Mcdonnell;United Kingdom;"""March 31, 2021""";2020;TV-MA;98 min;"""Documentaries, International Movies, Sports Movies""";"""This documentary offers an honest look at our fraught, complex relationship to video games from the perspectives of gamers and their concerned parents."""
Movie;Once Upon a Time in America;Sergio Leone;"""Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden""";"""Italy, United States""";"""September 1, 2021""";1984;R;229 min;"""Classic Movies, Dramas""";Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
TV Show;Magical Andes;null;null;"""Uruguay, Germany""";"""April 1, 2021""";2021;TV-G;2 Seasons;"""Docuseries, International TV Shows, Science & Nature TV""";"""From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains."""
TV Show;Murder Maps;null;Nicholas Day;United Kingdom;"""April 1, 2021""";2017;TV-MA;2 Seasons;"""British TV Shows, Crime TV Shows, Docuseries""";Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.
TV Show;Prank Encounters;null;Gaten Matarazzo;United States;"""April 1, 2021""";2021;TV-MA;2 Seasons;"""Reality TV, TV Comedies, TV Horror""";Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.
TV Show;Secrets of Great British Castles;null;Dan Jones;United Kingdom;"""April 1, 2021""";2016;TV-PG;2 Seasons;"""British TV Shows, Docuseries, International TV Shows""";Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.
Movie;Over the Moon;Glen Keane;"""Cathy Ang, Phillipa Soo, Ken Jeong, Robert G. Chiu, John Cho, Sandra Oh, Ruthie Ann Miles, Margaret Cho, Kimiko Glenn, Artt Butler, Irene Tsu, Clem Cheung, Conrad Ricamora""";"""China, United States""";"""October 23, 2020""";2020;PG;100 min;"""Children & Family Movies, Music & Musicals""";"""Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess."""
Movie;Pagpag: Nine Lives;Frasco Mortiz;"""Daniel Padilla, Kathryn Bernardo, Shaina Magdayao, Paulo Avelino, Matet De Leon, Janus del Prado, Miles Ocampo, Clarence Delgado, CJ Navato, Michelle Vito""";Philippines;"""October 29, 2020""";2013;TV-14;106 min;"""Horror Movies, International Movies""";"""After ignoring superstitions, a group of teenagers find themselves in a fight for their lives when they are haunted — and hunted — by an evil spirit."""
TV Show;Worn Stories;null;null;United States;"""April 1, 2021""";2021;TV-MA;1 Season;"""Docuseries, Reality TV""";"""In this funny, heartfelt and moving docuseries, real people unpack the fascinating and quirky stories around their most meaningful pieces of clothing."""
Movie;Paradise Hills;Alice Waddington;"""Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath""";"""Spain, United States""";"""September 9, 2021""";2019;TV-MA;95 min;"""Sci-Fi & Fantasy, Thrillers""";"""Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."""
TV Show;Haunted: Latin America;Adrián García Bogliano;null;"""United States, Mexico""";"""March 31, 2021""";2021;TV-14;1 Season;"""International TV Shows, Reality TV, Spanish-Language TV Shows""";"""Real people's terrifying tales of the chilling, unexplained and paranormal come to life with dramatic reenactments in this reality series."""
TV Show;Robocar Poli;null;"""Donald Reignoux, Alexis Tomassian, Thomas Sagols, Pierre Francois Pistori, Bruno Magne, Catherine Desplaces, Fily Keita, Adeline Chetail, Bertrand Liebert, Christophe Lemoine""";South Korea;"""March 31, 2021""";2015;TV-Y;2 Seasons;"""Kids' TV, Korean TV Shows""";"""When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day."""
TV Show;Yu-Gi-Oh!;null;"""Dan Green, Eric Stuart, Amy Birnbaum, Darren Dunstan, Wayne Grayson, Tara Sands, Lisa Ortiz, Megan Hollingshead, Madeleine Blaustein, Sam Riegel, Ted Lewis, Gregory Abbey, Jimmy Zoppi""";Japan;"""March 31, 2021""";2005;TV-Y7;1 Season;"""Anime Series, Kids' TV""";"""The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality."""
Movie;Pelé;"""David Tryhorn, Ben Nicholas""";null;United Kingdom;"""February 23, 2021""";2021;TV-14;109 min;"""Documentaries, International Movies, Sports Movies""";"""Against the backdrop of a turbulent era in Brazil, this documentary captures Pelé’s extraordinary path from breakthrough talent to national hero."""
Movie;Penguins of Madagascar: The Movie;"""Eric Darnell, Simon J. Smith""";"""Tom McGrath, Christopher Knights, Chris Miller, Conrad Vernon, John Malkovich, Benedict Cumberbatch, Ken Jeong, Annet Mahendru, Peter Stormare""";United States;"""January 15, 2021""";2014;PG;92 min;"""Children & Family Movies, Comedies""";"""Elite penguin spies Skipper, Kowalski, Rico and Private join forces with the suave agents of the North Wind to defeat power-mad genius Octavius Brine."""
Movie;Pineapple Express;David Gordon Green;"""Seth Rogen, James Franco, Danny McBride, Kevin Corrigan, Craig Robinson, Gary Cole, Rosie Perez, Ed Begley Jr., Nora Dunn, Amber Heard""";United States;"""August 1, 2021""";2008;R;112 min;"""Action & Adventure, Comedies""";"""After witnessing a murder, a perpetually stoned process server and his good-natured dealer go on the run from a drug lord who's out to kill them."""
TV Show;Magic for Humans Spain;null;Antonio Díaz;Spain;"""March 26, 2021""";2021;TV-MA;1 Season;"""International TV Shows, Reality TV, Spanish-Language TV Shows""";"""In this Spanish adaptation of \""Magic for Humans,\"" folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder."""
Movie;Planet 51;Jorge Blanco;"""Justin Long, Dwayne Johnson, Gary Oldman, Seann William Scott, Jessica Biel, John Cleese, Freddie Benedict""";"""Spain, United Kingdom, United States""";"""August 1, 2021""";2009;PG;91 min;"""Children & Family Movies, Comedies, Sci-Fi & Fantasy""";"""After landing on a planet reminiscent of 1950s suburbia, a human astronaut tries to avoid capture, recover his spaceship and make it home safely."""
TV Show;The Irregulars;null;"""Mckell David, Thaddea Graham, Jojo Macari, Harrison Osterfield, Darci Shaw, Clarke Peters, Royce Pierreson, Henry Lloyd-Hughes""";United Kingdom;"""March 26, 2021""";2021;TV-14;1 Season;"""British TV Shows, Crime TV Shows, International TV Shows""";"""A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes."""
Movie;Population 436;Michelle MacLaren;"""Jeremy Sisto, Fred Durst, Charlotte Sullivan, David Ames, Cory Cassidy, James Blicq, Martin Trudel, Reva Timbers, Rick Skene, Peter Outerbridge, Dana Horrox""";"""Canada, United States""";"""June 2, 2021""";2006;R;93 min;"""Horror Movies, Thrillers""";"""A census taker sent to investigate why Rockwell Falls has had the same population, 436, for more than a century, soon wishes he hadn't taken the job."""
Movie;Pray Away;Kristine Stolakis;null;United States;"""August 3, 2021""";2021;PG-13;102 min;"""Documentaries, LGBTQ Movies""";"Ex-leaders and a survivor of the so-called \conversion therapy\"" movement speak out about its harm to the LGBTQ+ community and its devastating persistence."""
TV Show;B: The Beginning;null;"""Hiroaki Hirata, Yuki Kaji, Asami Seto, Hiroki Touchi, Minoru Inaba, Ami Koshimizu, Toshiyuki Toyonaga, Shintaro Tanaka, Atsushi Goto, Toshiyuki Morikawa, Kaito Ishikawa, Satomi Sato, Yu Kitada, Mitsuki Saiga, Kazuya Nakai, Nozomi Kameda, Makoto Awane""";Japan;"""March 18, 2021""";2021;TV-MA;2 Seasons;"""Anime Series, Crime TV Shows, International TV Shows""";"""Genius investigator Keith Flick rejoins the royal police force just as serial killer \""B\"" emerges. Mysterious youth Koku may be an ally, or a target."""
Movie;Prospect;"""Zeek Earl, Christopher Caldwell""";"""Sophie Thatcher, Pedro Pascal, Jay Duplass, Andre Royo, Sheila Vand, Anwan Glover""";"""Canada, United States""";"""November 2, 2020""";2018;R;100 min;"""Sci-Fi & Fantasy, Thrillers""";A father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.
Movie;Ragini MMS;Pawan Kripalani;"""Kainaz Motivala, Rajkummar Rao, Rajat Kaul, Janice, Shernaza, Mangala Ahire, Vinod Rawat""";India;"""August 27, 2021""";2011;TV-MA;93 min;"""Horror Movies, International Movies""";A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
Movie;Ragini MMS 2;Bhushan Patel;"""Sunny Leone, Saahil Prem, Parvin Dabas, Sandhya Mridul, Divya Dutta, Soniya Mehra, Kainaz Motivala, Karan Mehra""";India;"""August 27, 2021""";2014;TV-MA;113 min;"""Horror Movies, International Movies""";The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
Movie;Rain Man;Barry Levinson;"""Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock, Michael D. Roberts, Ralph Seymour, Lucinda Jenney, Bonnie Hunt""";United States;"""March 1, 2021""";1988;R;134 min;"""Classic Movies, Dramas""";"""Motivated by money, a selfish workaholic seeking a piece of his late father's inheritance takes a life-changing road trip with his estranged brother."""
TV Show;The Lost Pirate Kingdom;null;"""James Oliver Wheatley, Sam Callis, Thomas Padley, Evan Milton, Samuel Collings, Miles Yekinni, Jack Waldouck, Mia Tomlinson, Kevin Howarth, Mark Gillis, George Watkins, Derek Jacobi""";"""United States, United Kingdom""";"""March 15, 2021""";2021;TV-MA;1 Season;"""Docuseries, Science & Nature TV, TV Action & Adventure""";The real-life pirates of the Caribbean violently plunder the world's riches and form a surprisingly egalitarian republic in this documentary series.
TV Show;Zero Chill;null;"""Grace Beedie, Dakota Benjamin Taylor, Jade Ma, Jeremias Amoore, Leonardo Fontes, Anastasia Chocholatá, Sarah-Jane Potts, Doug Rao, Tanja Ribič, Oscar Skagerberg, Jerry Kwarteng""";United Kingdom;"""March 15, 2021""";2021;TV-G;1 Season;"""British TV Shows, Kids' TV, TV Dramas""";"""Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy."""
Movie;Ratchet and Clank;"""Jericca Cleland, Kevin Munroe""";"""Paul Giamatti, John Goodman, Bella Thorne, Rosario Dawson, Jim Ward, Armin Shimerman, Vincent Tong, Andrew Cownden, James Arnold Taylor, David Kaye, Sylvester Stallone""";"""Hong Kong, Canada, United States""";"""July 9, 2021""";2016;PG;94 min;"""Children & Family Movies, Comedies, Sci-Fi & Fantasy""";Affable alien Ratchet longs to be a Galactic Ranger and might get the chance when rogue robot Clank tells him of evil Drek's plot to destroy a galaxy.
Movie;Really Love;Angel Kristi Williams;"""Kofi Siriboe, Yootha Wong-Loi-Sing, Michael Ealy, Uzo Aduba""";United States;"""August 25, 2021""";2020;TV-MA;95 min;"""Dramas, Independent Movies, Romantic Movies""";A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.
TV Show;The One;null;"""Hannah Ware, Zoë Tapper, Dimitri Leonidas, Amir El-Masry, Lois Chimimba, Eric Kofi-Abrefa, Pallavi Sharda, Jana Pérez, Diarmaid Murtagh, Gregg Chillin, Wilf Scolding, Stephen Campbell Moore, Simone Kirby, Albano Jerónimo, Eduardo Lloveras, Miguel Amorim""";United Kingdom;"""March 12, 2021""";2021;TV-MA;1 Season;"""British TV Shows, Crime TV Shows, International TV Shows""";"""Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service."""
Movie;Red Dot;Alain Darborg;"""Nanna Blondell, Anastasios Soulis, Thomas Hanzon, Johannes Kuhnke, Tomas Bergström, Kalled Mustonen, Anna Azcárate""";Sweden;"""February 11, 2021""";2021;TV-MA;86 min;"""International Movies, Thrillers""";"""Trying to rekindle their marriage and with a child on the way, a young couple on a ski trip suddenly finds themselves stalked by remorseless killers."""
Movie;Rhyme & Reason;Peter Spirer;"""Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean \""P. Diddy\"" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave""";United States;"""September 1, 2021""";1997;R;89 min;"""Documentaries, Music & Musicals""";"""The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."""
TV Show;Murder Among the Mormons;"""Jared Hess, Tyler Measom""";null;United States;"""March 3, 2021""";2021;TV-14;1 Season;"""Crime TV Shows, Docuseries""";High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story.
Movie;S.W.A.T.: Under Siege;Tony Giglio;"""Sam Jaeger, Michael Jai White, Adrianne Palicki, Ty Olsson, Kyra Zagorsky, Olivia Cheng, Lisa Chandler, Monique Ganderton, Matthew Marsden, Chris Gauthier""";United States;"""April 1, 2021""";2017;R;89 min;"""Action & Adventure, International Movies""";"""When a S.W.A.T. team takes in a mysterious, high-profile prisoner, international threats unleash a barrage of attacks on their compound to retrieve him."""
Movie;Sakaling Maging Tayo;JP Habac;"""McCoy De Leon, Elisse Joson, Bembol Roco, Chai Fonacier, Paulo Angeles, Markus Paterson, Milo Elmido Jr.""";Philippines;"""December 17, 2020""";2019;TV-14;90 min;"""International Movies, Romantic Movies""";"""A college student seizes his chance with a crush when an unexpected encounter turns into a night of bold dares, deep confessions and possible romance."""
Movie;Same Kind of Different as Me;Michael Carney;"""Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt""";United States;"""September 1, 2021""";2017;PG-13;120 min;"""Dramas, Faith & Spirituality""";A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
Movie;Savages;Oliver Stone;"""Taylor Kitsch, Aaron Taylor-Johnson, Blake Lively, John Travolta, Benicio Del Toro, Salma Hayek, Demián Bichir, Sandra Echeverría, Emile Hirsch, Joaquín Cosío, Ali Wong""";United States;"""March 16, 2021""";2012;R;131 min;"""Dramas, Thrillers""";"""With the help of a shady DEA agent, two weed entrepreneurs take on a merciless cartel leader who wants in on their business and kidnaps their lover."""
TV Show;Age of Samurai: Battle for Japan;null;"""Masayoshi Haneda, Masami Kosaka, Hideaki Ito, Hayate, Wilfred Lee, Philippe Koo""";United States;"""February 24, 2021""";2021;TV-MA;1 Season;"""Docuseries, International TV Shows""";Dynamic reenactments and expert commentaries bring to life the tumultuous history and power struggles of a warring 16th-century feudal Japan.
Movie;School of Rock;Richard Linklater;"""Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof, Kate McGregor-Stewart, Adam Pascal, Suzzanne Douglas, Miranda Cosgrove, Kevin Alexander Clark, Joey Gaydos Jr., Robert Tsai, Veronica Afflerbach, Jordan-Claire Green""";"""United States, Germany""";"""September 1, 2021""";2003;PG-13;110 min;"""Comedies, Music & Musicals""";"""Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."""
TV Show;Ginny & Georgia;null;"""Brianne Howey, Antonia Gentry, Diesel La Torraca, Jennifer Robertson, Felix Mallard, Sara Waisglass, Scott Porter, Raymond Ablack""";United States;"""February 24, 2021""";2021;TV-14;1 Season;"""Romantic TV Shows, TV Comedies, TV Dramas""";"""Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy."""
TV Show;Two Sentence Horror Stories;null;"""Nicole Kang, Jim Parrack, Tara Pacheco, Christopher Shyer, Kimberley Wong, Wai Ching Ho, Greta Quispe, Zaria Degenhardt, Uly Schlesinger, Kate Jennings Grant, Aleyse Shannon, Guillermo Arribas, Jaiden Smith, Pepper Binkley, Mikelle Wright-Matos, Melinda Mo""";United States;"""February 24, 2021""";2021;TV-14;2 Seasons;"""TV Horror, Teen TV Shows""";This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.
Movie;Seven Pounds;Gabriele Muccino;"""Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy, Barry Pepper, Elpidia Carrillo, Robinne Lee, Joe Nunez, Bill Smitrovich, Tim Kelleher, Gina Hecht, Andy Milder, Judyann Elder, Sarah Jane Morris""";United States;"""July 1, 2021""";2008;PG-13;123 min;"""Dramas, Romantic Movies""";"""Weighed down by a dark secret, IRS agent Ben Thomas tries to improve the lives of seven strangers in need of a second chance."""
Movie;Shawn Mendes: In Wonder;Grant Singer;Shawn Mendes;United States;"""November 23, 2020""";2020;TV-MA;83 min;"""Documentaries, Music & Musicals""";"""Over the course of a world tour, this unguarded documentary follows Shawn Mendes as he opens up about his stardom, relationships and musical future."""
TV Show;Behind Her Eyes;null;"""Simona Brown, Eve Hewson, Tom Bateman, Robert Aramayo, Tyler Howitt, Georgie Glen""";United Kingdom;"""February 17, 2021""";2021;TV-MA;1 Season;"""British TV Shows, International TV Shows, TV Dramas""";A single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while secretly befriending his mysterious wife.
TV Show;MeatEater;null;Steven Rinella;United States;"""February 17, 2021""";2021;TV-14;4 Seasons;"""Docuseries, Reality TV, Science & Nature TV""";Steven Rinella scrounges in some of America's wildest terrains in this unscripted series showing him on the hunt for wild animals from ducks to deer.
Movie;She's Out of My League;Jim Field Smith;"""Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, Andrew Daly, Jasika Nicole, Kyle Bornheimer""";United States;"""July 1, 2021""";2010;R;106 min;"""Comedies, Romantic Movies""";"""Kirk's a 5. His new girlfriend Molly's a 10. No one knows what she sees in him, including Kirk. Will his raging insecurities ruin this budding romance?"""
TV Show;Good Girls;null;"""Christina Hendricks, Retta, Mae Whitman, Matthew Lillard, Reno Wilson, Manny Montana, Lidya Jewett, Izzy Stannard, David Hornsby, Zach Gilford""";United States;"""February 16, 2021""";2020;TV-MA;3 Seasons;"""Crime TV Shows, TV Comedies, TV Dramas""";Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence – together.
TV Show;Nadiya Bakes;null;Nadiya Hussain;United Kingdom;"""February 12, 2021""";2021;TV-G;1 Season;"""British TV Shows, International TV Shows, Reality TV""";"""Delightful cakes and heavenly breads pop from the oven as Nadiya Hussain returns to baking, her happy place, and spotlights creative kindred spirits."""
Movie;Show Dogs;Raja Gosnell;"""Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale""";"""United Kingdom, United States""";"""September 8, 2021""";2018;PG;90 min;"""Children & Family Movies, Comedies""";A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
TV Show;Crime Scene: The Vanishing at the Cecil Hotel;Joe Berlinger;null;United States;"""February 10, 2021""";2021;TV-MA;1 Season;"""Crime TV Shows, Docuseries""";"""The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. From the creator of \""The Ted Bundy Tapes,\"" a dive into crime's darkest places."""
Movie;Skater Girl;Manjari Makijany;"""Rachel Saanchita Gupta, Amy Maghera, Shafin Patel, Ambrish Saxena, Swati Das, Jonathan Readwin, Ankit Yadav, Anurag Arora, Vinayak Gupta, Vivek Yadav, Waheeda Rehman""";"""United States, India""";"""June 11, 2021""";2021;PG;110 min;"""Children & Family Movies, Dramas, International Movies""";"""When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete."""
TV Show;ICarly;null;"""Miranda Cosgrove, Nathan Kress, Jerry Trainor, Jennette McCurdy, Noah Munck, Mary Scheer""";United States;"""February 8, 2021""";2008;TV-G;2 Seasons;"""Kids' TV, TV Comedies""";A cyberstar is born when 13-year-old Carly creates an Internet series with a little help from her best friend Sam and neighbor Freddie.
TV Show;The Sinner;null;"""Jessica Biel, Bill Pullman, Christopher Abbott, Abby Miller, Dohn Norwood""";United States;"""February 6, 2021""";2020;TV-MA;3 Seasons;"""Crime TV Shows, TV Dramas, TV Mysteries""";"""When a young mother inexplicably stabs a stranger to death, a sympathetic detective struggles to unlock the mystery buried in her missing memories."""
Movie;Snervous Tyler Oakley;Amy Rice;Tyler Oakley;United States;"""September 1, 2021""";2015;PG-13;83 min;"""Documentaries, LGBTQ Movies""";"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international \Slumber Party\"" tour."""
Movie;Snow Day;Chris Koch;"""Chris Elliott, Mark Webber, Jean Smart, Schuyler Fisk, Iggy Pop, Pam Grier, John Schneider, Chevy Chase, Zena Grey, Josh Peck""";United States;"""July 1, 2021""";2000;PG;89 min;"""Children & Family Movies, Comedies""";"""When a snow day shuts down the whole town, the Wheeler family cuts loose. Hal makes a play for the most popular girl in his school, 10-year-old Natalie takes on the dreaded snowplow man, and Dad gets into a showdown with a rival meteorologist."""
Movie;Snowpiercer;Bong Joon Ho;"""Chris Evans, Song Kang-ho, Ed Harris, John Hurt, Tilda Swinton, Jamie Bell, Octavia Spencer, Ewen Bremner, Alison Pill, Adnan Haskovic, Vlad Ivanov, Ko A-sung, Luke Pasqualino""";"""South Korea, Czech Republic""";"""July 2, 2021""";2013;R;126 min;"""Action & Adventure, Cult Movies, International Movies""";The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.
TV Show;Firefly Lane;null;"""Katherine Heigl, Sarah Chalke, Ben Lawson, Beau Garrett, Ali Skovbye, Roan Curtis, Yael Yurman, Jon-Michael Ecker, Brandon Jay McLaren, Paul McGillion, Chelah Horsdal, Brendan Taylor""";United States;"""February 3, 2021""";2021;TV-MA;1 Season;"""Romantic TV Shows, TV Dramas""";Best friends Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their 40s.
TV Show;Tiffany Haddish Presents: They Ready;null;"""Tracey Ashley, Flame Monroe, Aida Rodriguez, Marlo Williams, April Macie, Chaunté Wayans, Tiffany Haddish""";United States;"""February 2, 2021""";2021;TV-MA;2 Seasons;"""Stand-Up Comedy & Talk Shows, TV Comedies""";"""Hand-picked by Tiffany Haddish, six diverse comedians showcase their raw humor in a series of specials oozing with energy."""
TV Show;Love Daily;null;"""Kamil McFadden, Alexandra Peters, Laura Marano, Paul Karmiryan, Brianne Tju, Alexis G. Zall, Leo Howard, Stephanie Nogueras""";United States;"""February 1, 2021""";2018;TV-14;1 Season;"""Romantic TV Shows, Teen TV Shows""";"""This anthology follows 12 different love stories involving fateful encounters, magical moments and unexpected romances over the course of a year."""
TV Show;My Dead Ex;null;"""Katherine Hughes, Ryan Lee, Ryan Malaty, Medalion Rahimi, Marc Evan Jackson, Beth Littleford, Audrey Wasilewski, Matt Braunger""";United States;"""February 1, 2021""";2018;TV-14;1 Season;"""TV Comedies, Teen TV Shows""";High school teens Charley and Ben find themselves in a complicated romance when Ben dies in a tragic accident but is resurrected by a magical spell.
Movie;Spy Kids: All the Time in the World;Robert Rodriguez;"""Jessica Alba, Joel McHale, Rowan Blanchard, Mason Cook, Jeremy Piven, Alexa PenaVega, Daryl Sabara, Ricky Gervais, Danny Trejo""";United States;"""May 20, 2021""";2011;PG;88 min;"""Children & Family Movies, Comedies""";Twins Rebecca and Cecil spring into action with their retired secret agent stepmother to stop a time-manipulating mastermind and his nefarious plans.
TV Show;The Unsettling;null;"""Holly Taylor, Tequan Richmond, Willow Shields, An-Li Bogan, Noah Grismer, Alex Lange, David Clayton Rogers, Marguerite Moreau""";United States;"""February 1, 2021""";2019;TV-14;1 Season;"""TV Horror, Teen TV Shows""";"""As 16-year-old Becca adjusts to her new foster home, she starts to question her reality as strange things begin to happen all around her."""
TV Show;Total Drama;null;"""Clé Bennett, Christian Potenza, Scott McCord, Rachel Wilson, Drew Nelson, Stephanie Anne Mills, Novie Edwards, Megan Fahlenbock, Brian Foud, Emilie-Claire Barlow, Phillip David Lewis, Katie Crown, Sarah Gadon, Peter Oldring, Kristin Fairlie, Dan Petronijevic, Adam Greydon Reid""";"""Canada, United States, France""";"""February 1, 2021""";2015;TV-PG;7 Seasons;"""Kids' TV, TV Comedies""";"""Heartwarming moments are interspersed with backstabbing, scheming, sabotage and broken alliances in this animated spoof of reality show competitions."""
Movie;Star Trek;J.J. Abrams;"""Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Eric Bana, Leonard Nimoy, Bruce Greenwood, Ben Cross, Winona Ryder""";"""United States, Germany""";"""July 1, 2021""";2009;PG-13;128 min;"""Action & Adventure, Sci-Fi & Fantasy""";"""On their first voyage aboard the starship Enterprise, cocky rebel James T. Kirk and logic-driven Vulcan Spock try to defeat a vengeful Romulan commander."""
Movie;Starship Troopers: Traitor of Mars;"""Shinji Aramaki, Masaru Matsumoto""";"""Casper Van Dien, Dina Meyer, DeRay Davis, Justin Doran, Luci Christian, Emily Neves, Scott Gibbs, Juliet Simmons, Chris Gibson, Greg Ayres""";"""United States, Japan""";"""April 1, 2021""";2017;R;88 min;"""Action & Adventure, Sci-Fi & Fantasy""";"""When a corrupt official plans to sabotage the planet Mars, it’s up to Rico and a group of fresh recruits to fend off a surprise bug attack on their own."""
Movie;State of Play;Kevin Macdonald;"""Russell Crowe, Ben Affleck, Rachel McAdams, Helen Mirren, Robin Wright, Jason Bateman, Jeff Daniels, Michael Berresse, Harry Lennix""";"""United States, United Kingdom, France""";"""May 1, 2021""";2009;PG-13;127 min;"""Dramas, Thrillers""";A veteran journalist teams up with a young reporter to untangle a web of lies surrounding the suspicious death of a woman tied to a powerful politician.
Movie;Stuart Little;Rob Minkoff;"""Michael J. Fox, Jonathan Lipnicki, Geena Davis, Hugh Laurie, Nathan Lane""";"""Germany, United States""";"""July 1, 2021""";1999;PG;85 min;"""Children & Family Movies, Comedies""";"""When his parents adopt a mouse instead of a little boy, George realizes brothers come in all shapes and sizes. But Snowbell the cat is not so welcoming."""
TV Show;Outlander;null;"""Caitriona Balfe, Sam Heughan, Tobias Menzies, Gary Lewis, Graham McTavish, Lotte Verbeek, Duncan Lacroix, Laura Donnelly, Bill Paterson, Stephen Walters, Grant O'Rourke, Simon Callow, Richard Rankin, Sophie Skelton, David Berry, Romann Berrux, Ed Speleers, Maria Doyle Kennedy, Tim Downie""";United States;"""January 27, 2021""";2018;TV-MA;4 Seasons;"""Romantic TV Shows, TV Action & Adventure, TV Dramas""";This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.
